SUBJ_COU_NBR
ART 402
HP 154
COMM 302
THEA 381
MUSP 151
SPAN 301
MGMT 480
ART 280
ENG 327
FILM 217
THEA 240
HP 141
MGMT 343
ART 212
HP 499
POL 106
KSP 330
ACCT 300
BIOL 316
BIOL 217
THEA 381W
HIST 150
PHYS 335
PHYS 441
PHYS 447
PHYS 492
EE 244
MUS 133
ETHN 120
THEA 107
CDIS 312
CDIS 322
CDIS 350W
HP 149
EE 106
CMST 403
CM 130
ART 380
MUS 130
ANTH 331
KSP 150
EDLD 671
EDLD 672
PSYC 321
SOC 202
FCS 303
FCS 401
PSYC 358
NPL 273
HLTH 675
ELE 653
ELE 654
ELE 652
ELE 651
NURS 320W
NURS 362
PSYC 150
PSYC 206
COMM 374
ACCT 330
AVIA 545
AVIA 560
HIST 190W
SPED 333
SPED 404
SPED 414
HP 610
HP 638
HP 665
COMM 300
COMM 335
KSP 106
SOC 558
SOC 603
FCS 400
NURS 402
AVIA 100
ENG 587
ENG 686
KSP 643
HLTH 225
GWS 250
HLTH 372
AOS 301
SOC 307
URBS 662
HP 152
FCS 100
SPED 615
SPED 625
ACCT 220
COMM 633
COMM 621
POL 435
POL 434
HIST 437
MBA 690
MBA 642
MBA 610
MBA 612
MBA 634
NURS 382
ELE 625
ELE 620
ELE 567
ELE 677
CIVE 145
ENGR 322
MBA 614
MBA 623
MBA 681
DHYG 441
DHYG 443
DHYG 445
DHYG 456
FCS 150
HLTH 209
DHYG 453W
NURS 521
NURS 525
SPED 621
POL 221
DHYG 223
NURS 523
NURS 630
ENGR 334
ENGR 492
ENGR 422
ENGR 421
ENGR 345
ENGR 336
ENGR 333
ENGR 332
ENGR 299
ENGR 342
ENGR 241
ENGR 240
RPLS 276
NURS 286
KSP 619
AOS 492
ART 350
DHYG 100
NPL 588
PSYC 461
HIST 268
COMM 333
EE 499
ISAT 301
MET 427
MET 428
BIOL 541
BIOL 606
BIOL 677
BIOL 695
KSP 624
ENG 566
ENG 673
MATH 092
HONR 201
URBS 110
GER 342
COMM 555
ENG 555
KSP 663
KSP 601
COMM 412
COMM 418
SPED 548
SPED 659
MUSP 102
MUSC 105
MUSC 304
SPED 407
BIOL 546
BIOL 601
FCS 681
FCS 514
MACC 635
MACC 652
POL 103W
CJ 602
CJ 603
CJ 605
DHYG 101
ANTH 425W
HIST 415
WELL 100
MGMT 332
HP 180
SPED 619
HP 325
HP 350
HP 468
HP 469
DHYG 451
CDIS 220
HIST 490
COMM 440
COMM 400
CIS 202W
HP 130
RPLS 165
COMM 280
COMM 260
ART 324
MGMT 472
HP 102
KSP 622
HP 191
MUSP 215
ME 201
AVIA 160
CW 340
MSL 150
MSL 210
BUS 397
CM 297
CM 120
CM 111
CM 108
CIS 113
COMM 224
THEA 111
GWS 225
ENG 441
ENG 403W
HIST 478
SPED 108
CIS 653
FILM 216W
AOS 440
RPLS 100
AOS 488
HP 159
SOC 499
ACCT 421
ENG 577
HLTH 659
GEOG 511
NURS 420
NURS 482W
SOC 482
NPL 485
AOS 320
URBS 150
PHIL 321W
ENGR 452
ENGR 431
ENGR 346
ENGR 341
ENGR 311W
ENGR 301
AVIA 334
HLTH 260
HLTH 295
HLTH 311
KSP 680
KSP 693
KSP 603
KSP 605
KSP 608
KSP 633
MUSC 341
MUSC 343
ENG 655
ENG 656
ENG 609
URBS 100
ENG 651
ENG 618
ENG 607
ENG 628
ENG 635
ENG 671
MFE 142
EDLD 674
EDLD 673
SPED 614
SPED 639
SPED 656
MACC 640
MACC 651
DHYG 444W
SPAN 600
SPAN 632
SPAN 652
DANC 126
PSYC 414
SOC 458
ENG 582
ENG 586
ENG 627
MGMT 391
PSYC 303
PSYC 219
SPED 652
SPED 684
SPED 653
NURS 524
ACCT 301
EET 118
ELE 635
AST 102
AVIA 601
AVIA 537
COMM 353
EDLD 662
ETHN 500
CSP 664
ETHN 502
EDLD 636
CJ 310
COMM 306
THEA 215
NURS 685
ENG 464
COMM 421
ENG 361
CJ 242
ECON 420
ENG 433W
POL 431
NURS 492
DHYG 442
KSP 640
KSP 612
SPED 661
SPED 520
HP 667
HP 625
HP 650
HP 660
HP 590
EET 125
CJ 225
PHIL 112W
DHYG 454
EET 112
RPLS 182
RPLS 325
RPLS 293
CHIN 101
GEOG 210W
HIST 280
CHIN 102
ACCT 320
MACC 630
MACC 670
ELE 619
ELE 626
AE 102
AE 261
SPED 670
FCS 280
HP 305
HP 319
HP 290
HP 490
HP 435
HP 459
DHYG 452
MATH 555
MATH 570
STAT 550
MATH 547
MATH 556
MBA 651
MBA 663
MBA 665
SPAN 643
HP 630
ETHN 201W
CW 640
CW 644
CW 642
CW 643
HP 470
COMM 312
SOC 214W
MSL 252
HIST 181W
ENG 564
ENG 625
SPED 514
SPED 605
PHIL 334W
COMM 183
ENG 401
FCS 275
CIS 296
PSYC 466
PSYC 304
COMM 470
URBS 501
URBS 537
URBS 502
URBS 655
HP 303
HP 306
HP 451
MET 628
CIVE 271
ENG 657
SPED 657
SPED 646
AOS 420
COMM 425
CSP 571
HP 640
HP 641
HP 644
HP 682
HP 646
HP 648
IEP 030
IEP 031
IEP 032
IEP 033
IEP 034
CSP 665
CSP 659
CSP 645
CSP 648
CSP 666
CSP 672
CSP 673
CSP 675
ENG 362
ENG 463
CIS 450
CIS 480
CIS 540
CIS 550
CIS 580
CIS 440
CIS 602
CIS 641
CIS 680
AIS 101
EDLD 641
EDLD 652
EDLD 642
EDLD 646
NURS 687
NURS 634
GERO 200W
EE 105
HUM 280W
NURS 719
NURS 711
DHYG 219
ETHN 203W
MACC 642
PHYS 150
KSP 639
KSP 621
DAK 101
NURS 681
NURS 682
CIS 600
CIS 697
CIS 518
CSP 110
KSP 689
HP 688
PSYC 103W
COMM 437
COMM 414
ENG 563
MGMT 482
KSP 677
POL 427
COMM 330W
COMM 495
COMM 611
COMM 634
COMM 600
COMM 570
COMM 525
AET 102
CHEM 191
ENG 211W
SPAN 692
HP 465
NURS 236
NURS 282
EE 589
EE 613
MET 142
MET 104
MET 424
MET 497
HP 309
HP 304
SPAN 310
GWS 230
DHYG 455
ELE 410
ELE 413
ELE 420
ELE 421
ELE 422
HP 301
HIST 602
HIST 615
HIST 545
HIST 609
HIST 697
HIST 530
MGMT 447
MGMT 360
MGMT 442
RPLS 175
PHYS 232
CSP 647
CSP 662
ENG 622
ENG 698
MSL 101
MSL 102
MBA 683
SOWK 609
SOWK 601
SOWK 605
SOWK 615
SOWK 611
SOWK 603
ETHN 204W
CDIS 392
CDIS 421
CDIS 394
BIOL 590
BIOL 602
BIOL 685
BIOL 699
ENVR 570
BIOL 576
SPED 509
SPED 645
MATH 105
HIST 191W
SCAN 350
KSP 200
RPLS 150
REHB 110W
CDIS 346
GWS 120
ANTH 120
CJ 233
HIST 438
CW 343
CW 344
COMM 220
SOC 241
COMM 320
ENGR 457
ENGR 321
ENGR 458
PHIL 115W
AIS 212
URBS 230W
HP 333
HP 201
HP 295
HP 313
HP 330
HP 331
PHIL 101W
HIST 250
FCS 580
FCS 535
FCS 588
KSP 662
COMM 610
COMM 550
KSP 687
SOWK 310W
MET 507
MET 625
MET 528
ELE 613
